Metagenome	Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination	Domain	Phylum	Class	Order	Family	Genus	Species	FastANI Reference	FastANI Reference Radius	FastANI Taxonomy	FastANI ANI	FastANI Alignment Fraction	Closest Placement Reference	Closest Placement Taxonomy	Closest Placement ANI	Closest Placement Alignment Fraction	Classification Method	Note	Other Related References	MSA AA Percent	RED Value	Warnings
B1	bin.001	k__Bacteria	5449	104	58	0	4	7	16	8	69	100	693.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B1	bin.002	k__Bacteria	5449	104	58	24	79	1	0	0	0	67.22	1.72	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA6065			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	54.08	0.8288364817	-
B1	bin.003	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B1	bin.004	k__Bacteria	5449	104	58	78	24	2	0	0	0	29.39	3.45	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948	JABEUT01		-	-	-	-	-	-	-	-	-	ANI	-	GCA_013288205.1, s__JABEUT01 sp0132882...	16.6	0.9174097898	-
B1	bin.005	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B1	bin.006	k__Bacteria	924	151	101	63	80	8	0	0	0	51.91	6.93	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	44.69	0.8774720632	-
B1	bin.007	k__Bacteria	924	151	101	47	102	2	0	0	0	58.22	1.32	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	62.8	0.878127231	-
B1	bin.008	o__Rhizobiales	107	485	316	196	206	70	10	3	0	64.18	21.69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	BOG-931		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	38.36	0.9425733737	Genome has more than 14.2% of markers with multiple hits
B1	bin.009	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B1	bin.010	k__Bacteria	2993	143	89	55	67	20	1	0	0	55.07	12.57	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	UBA10103		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	39.43	0.9264880332	Genome has more than 10.0% of markers with multiple hits
B1	bin.011	k__Bacteria	5449	104	58	77	26	1	0	0	0	37.23	0.86	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Collimonas		-	-	-	-	-	GCF_001584185.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Collimonas;s__Collimonas pratensis	93.14	0.89	taxonomic classification defined by topology and ANI	-	GCF_002564105.1, s__Collimonas sp00256...	24.68	0.9985782476	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
B1	bin.012	c__Gammaproteobacteria	67	481	276	212	183	64	13	7	2	57.83	26.01	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	31.94	0.8470209828	Genome has more than 12.5% of markers with multiple hits
B1	bin.013	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B1	bin.014	k__Bacteria	5449	101	57	84	16	1	0	0	0	22.81	1.75	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Palsa-1447		-	-	-	-	-	GCA_003140665.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__Palsa-1447 sp003140665	79.46	0.47	taxonomic classification defined by topology and ANI	-	GCA_003164715.1, s__Palsa-1447 sp00316...	24.24	0.9712853612	-
B1	bin.015	k__Bacteria	88	230	148	32	158	40	0	0	0	88.98	20.95	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		-	-	-	-	-	GCA_003133815.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815	82.94	0.49	taxonomic classification defined by topology and ANI	-	GCA_003139955.1, s__UBA11358 sp0031399...	59.36	0.9612359092	Genome has more than 16.7% of markers with multiple hits
B1	bin.016	k__Bacteria	5449	104	58	82	22	0	0	0	0	28.22	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	24.38	0.8693814305	-
B1	bin.017	k__Bacteria	5449	104	58	83	21	0	0	0	0	25.16	0	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella		-	-	-	-	-	GCF_903832005.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella aerosaccus_B	84.03	0.31	taxonomic classification defined by topology and ANI	-	GCF_903915535.1, s__Reyranella aerosac...	16.56	0.979720293	-
B1	bin.018	k__Bacteria	2258	187	116	16	169	2	0	0	0	95.85	1.29	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003170825.1, s__Terracidiphilus sp...	91.5	0.924730602	-
B1	bin.019	k__Bacteria	5449	104	58	98	6	0	0	0	0	9.48	0	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium		-	-	-	-	-	-	-	-	-	ANI	-	GCA_903897605.1, s__Rhizomicrobium sp9...	11.26	0.9439447386	-
B1	bin.020	k__Bacteria	88	227	146	111	112	4	0	0	0	51.95	2.28	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	41.04	0.8766950545	-
B1	bin.021	k__Bacteria	5449	104	58	84	20	0	0	0	0	18.34	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		-	-	-	-	-	GCA_003133815.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815	80.25	0.5	taxonomic classification defined by topology and ANI	-	GCA_003139955.1, s__UBA11358 sp0031399...	21.18	0.9575336071	-
