Metagenome	Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination	Domain	Phylum	Class	Order	Family	Genus	Species	FastANI Reference	FastANI Reference Radius	FastANI Taxonomy	FastANI ANI	FastANI Alignment Fraction	Closest Placement Reference	Closest Placement Taxonomy	Closest Placement ANI	Closest Placement Alignment Fraction	Classification Method	Note	Other Related References	MSA AA Percent	RED Value	Warnings
C1	bin.001	f__Enterobacteriaceae	55	546	224	34	512	0	0	0	0	98.21	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rahnella	Rahnella chamberiensis_A	GCF_009295505.1	95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A	99.2	0.95	GCF_009295505.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A	99.2	0.95	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002951615.1, s__Rahnella sp0029516...	84.14	-	-
C1	bin.005	p__Firmicutes	100	295	158	50	236	9	0	0	0	81.83	4.59	Bacteria	Firmicutes_C	Negativicutes	Sporomusales	Acetonemaceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	79.53	0.7400533585	-
C1	bin.006	k__Bacteria	88	230	148	47	175	7	1	0	0	81.3	4.76	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		-	-	-	-	-	GCA_003133815.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815	82.89	0.57	taxonomic classification defined by topology and ANI	-	GCA_003139955.1, s__UBA11358 sp0031399...	65.59	0.9568328465	-
C1	bin.007	k__Bacteria	5449	104	58	21	83	0	0	0	0	73.64	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	66.57	0.8834816089	-
C1	bin.008	g__Clostridium	44	404	145	2	390	10	2	0	0	98.62	5.48	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	93.21	0.8171843735	-
C1	bin.010	k__Bacteria	2258	187	116	11	173	3	0	0	0	94.85	2.16	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003170825.1, s__Terracidiphilus sp...	89.5	0.9249754435	-
C1	bin.012	o__Pseudomonadales	185	813	308	30	754	29	0	0	0	97.36	1.29	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp002814235	GCF_002814235.1	95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	97.54	0.91	GCF_002814235.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	97.54	0.91	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_013385425.1, s__Pseudomonas_E ging...	82.71	-	-
C1	bin.016	k__Bacteria	5449	104	58	50	54	0	0	0	0	78.79	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	BGMRC-2031		-	-	-	-	-	GCF_005217455.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__BGMRC-2031;s__BGMRC-2031 sp005217455	79.24	0.38	taxonomic classification defined by topology and ANI	-	GCF_004346745.1, s__BGMRC-2031 sp00434...	68.95	0.957664984	-
C1	bin.017	f__Bacillaceae	128	555	180	5	529	20	1	0	0	98.25	4.84	Bacteria	Firmicutes	Bacilli	Bacillales_B	DSM-18226	Neobacillus		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	94.28	0.8428571747	-
C2	bin.001	k__Bacteria	5449	104	58	36	59	9	0	0	0	56.32	5.38	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	46.67	0.8397443697	-
C2	bin.009	k__Bacteria	5449	104	58	66	37	1	0	0	0	54.81	1.72	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	53.96	0.8379875088	-
C2	bin.013	c__Alphaproteobacteria	564	349	230	156	182	11	0	0	0	56.77	3.91	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales_A	UBA9219	JABDFY01		-	-	-	-	-	GCA_903875345.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_A;f__UBA9219;g__JABDFY01;s__JABDFY01 sp903875345	76.77	0.21	taxonomic classification defined by topology and ANI	-	-	49.49	0.8883167969	-
C2	bin.022	k__Bacteria	2258	185	115	29	152	4	0	0	0	91.84	2.61	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Palsa-89		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003166865.1, s__Palsa-89 sp0031668...	83.03	0.9194501698	-
C2	bin.030	p__Firmicutes	100	295	158	25	259	10	1	0	0	93.54	6.35	Bacteria	Firmicutes_C	Negativicutes	Sporomusales	UPPP01			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	82.11	0.759987335	-
C2	bin.033	k__Bacteria	924	151	101	43	107	1	0	0	0	62.18	0.99	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	66.21	0.8829949251	-
C2	bin.034	o__Pseudomonadales	185	813	308	115	678	20	0	0	0	81.25	2.95	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E		-	-	-	-	-	-	-	-	-	taxonomic classification defined by topology and ANI	-	GCF_000497835.1, s__Pseudomonas_E sp00...	87.29	0.9890037538	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
C2	bin.036	k__Bacteria	2258	187	116	76	107	4	0	0	0	61.08	1.44	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	55.61	0.8265779611	-
C2	bin.044	k__Bacteria	5449	104	58	53	47	3	0	1	0	70.69	9.48	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003166955.1, s__Palsa-343 sp003166...	55.91	0.9380925426	-
C2	bin.045	k__Bacteria	2258	187	116	90	94	3	0	0	0	57.16	2.59	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAIVDV01		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	39.59	0.9337643749	-
