Metagenome	Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination	Domain	Phylum	Class	Order	Family	Genus	Species	FastANI Reference	FastANI Reference Radius	FastANI Taxonomy	FastANI ANI	FastANI Alignment Fraction	Closest Placement Reference	Closest Placement Taxonomy	Closest Placement ANI	Closest Placement Alignment Fraction	Classification Method	Note	Other Related References	MSA AA Percent	RED Value	Warnings
C1	bin.001	f__Enterobacteriaceae	55	546	224	34	512	0	0	0	0	98.21	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rahnella	Rahnella chamberiensis_A	GCF_009295505.1	95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A	99.2	0.95	GCF_009295505.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A	99.2	0.95	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002951615.1, s__Rahnella sp0029516...	84.14	-	-
C1	bin.002	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	bin.003	k__Bacteria	5449	104	58	81	20	3	0	0	0	30.17	4.31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	25.39	0.8363366109	-
C1	bin.004	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	bin.005	p__Firmicutes	100	295	158	50	236	9	0	0	0	81.83	4.59	Bacteria	Firmicutes_C	Negativicutes	Sporomusales	Acetonemaceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	79.53	0.7400533585	-
C1	bin.006	k__Bacteria	88	230	148	47	175	7	1	0	0	81.3	4.76	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		-	-	-	-	-	GCA_003133815.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815	82.89	0.57	taxonomic classification defined by topology and ANI	-	GCA_003139955.1, s__UBA11358 sp0031399...	65.59	0.9568328465	-
C1	bin.007	k__Bacteria	5449	104	58	21	83	0	0	0	0	73.64	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	66.57	0.8834816089	-
C1	bin.008	g__Clostridium	44	404	145	2	390	10	2	0	0	98.62	5.48	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	93.21	0.8171843735	-
C1	bin.009	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	bin.010	k__Bacteria	2258	187	116	11	173	3	0	0	0	94.85	2.16	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003170825.1, s__Terracidiphilus sp...	89.5	0.9249754435	-
C1	bin.011	root	5656	56	24	54	2	0	0	0	0	8.33	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	bin.012	o__Pseudomonadales	185	813	308	30	754	29	0	0	0	97.36	1.29	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp002814235	GCF_002814235.1	95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	97.54	0.91	GCF_002814235.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	97.54	0.91	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_013385425.1, s__Pseudomonas_E ging...	82.71	-	-
C1	bin.013	k__Bacteria	5449	103	58	101	2	0	0	0	0	3.45	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	bin.014	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	bin.015	k__Bacteria	5449	104	58	103	1	0	0	0	0	0.16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	bin.016	k__Bacteria	5449	104	58	50	54	0	0	0	0	78.79	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	BGMRC-2031		-	-	-	-	-	GCF_005217455.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__BGMRC-2031;s__BGMRC-2031 sp005217455	79.24	0.38	taxonomic classification defined by topology and ANI	-	GCF_004346745.1, s__BGMRC-2031 sp00434...	68.95	0.957664984	-
C1	bin.017	f__Bacillaceae	128	555	180	5	529	20	1	0	0	98.25	4.84	Bacteria	Firmicutes	Bacilli	Bacillales_B	DSM-18226	Neobacillus		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	94.28	0.8428571747	-
C1	bin.018	k__Bacteria	5449	104	58	75	22	4	3	0	0	42.9	17.24	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia		-	-	-	-	-	-	-	-	-	ANI	-	GCF_900141745.1, s__Paraburkholderia p...	22.47	0.9871340462	Genome has more than 15.0% of markers with multiple hits
C2	bin.001	k__Bacteria	5449	104	58	36	59	9	0	0	0	56.32	5.38	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	46.67	0.8397443697	-
C2	bin.002	k__Bacteria	5449	104	58	75	26	3	0	0	0	33.99	4.02	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	27.52	0.870492481	-
C2	bin.003	o__Rhodospirillales	63	336	201	59	70	70	62	55	20	91.42	154.24	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter		-	-	-	-	-	-	-	-	-	ANI	-	GCF_009766065.1, s__Rhodanobacter sp00...	25.11	0.9861274025	Genome has more than 55.0% of markers with multiple hits
C2	bin.004	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2	bin.005	k__Bacteria	5449	104	58	91	13	0	0	0	0	18.97	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198		-	-	-	-	-	GCA_003165495.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__Bog-1198 sp003165495	80.59	0.29	taxonomic classification defined by topology and ANI	-	GCA_003134045.1, s__Bog-1198 sp0031340...	19.06	0.9817840418	-
C2	bin.006	k__Bacteria	5449	104	58	81	22	1	0	0	0	36.21	1.72	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia		-	-	-	-	-	GCF_001544555.2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia;s__Caballeronia udeis	92.84	0.54	taxonomic classification defined by topology and ANI	-	GCA_001190015.1, s__Caballeronia crena...	28.21	0.9957875709	-
C2	bin.007	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2	bin.008	k__Bacteria	5449	104	58	88	16	0	0	0	0	25.86	0	Bacteria	Proteobacteria	Gammaproteobacteria	UBA6186	UBA6186			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	22.39	0.7339647464	-
C2	bin.009	k__Bacteria	5449	104	58	66	37	1	0	0	0	54.81	1.72	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	53.96	0.8379875088	-
C2	bin.010	k__Bacteria	5449	104	58	4	16	27	28	14	15	97.81	236.87	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JABEUX01		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	10.4	0.8772275299	Genome has more than 85.8% of markers with multiple hits;Genome domain questionable ( 10.8% Bacterial, 2.5% Archaeal)
C2	bin.011	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2	bin.012	k__Bacteria	5449	104	58	76	28	0	0	0	0	41.38	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	13-2-20CM-66-19		-	-	-	-	-	-	-	-	-	taxonomic classification fully defined by topology	-	-	33.15	0.9419332651	-
C2	bin.013	c__Alphaproteobacteria	564	349	230	156	182	11	0	0	0	56.77	3.91	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales_A	UBA9219	JABDFY01		-	-	-	-	-	GCA_903875345.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_A;f__UBA9219;g__JABDFY01;s__JABDFY01 sp903875345	76.77	0.21	taxonomic classification defined by topology and ANI	-	-	49.49	0.8883167969	-
C2	bin.014	o__Burkholderiales	107	574	251	30	271	224	43	4	2	97.51	66.01	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia		-	-	-	-	-	-	-	-	-	taxonomic classification defined by topology and ANI	-	GCF_900096975.1, s__Paraburkholderia l...	55.05	0.9898328638	Genome has more than 32.5% of markers with multiple hits
C2	bin.015	k__Bacteria	5449	100	55	89	11	0	0	0	0	13.79	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2	bin.016	k__Bacteria	5449	104	58	57	33	13	1	0	0	63.9	23.28	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	13-2-20CM-66-19		-	-	-	-	-	-	-	-	-	ANI	-	GCA_005878835.1, s__13-2-20CM-66-19 sp...	35.08	0.9410596619	Genome has more than 18.3% of markers with multiple hits
C2	bin.017	k__Bacteria	88	227	146	27	170	30	0	0	0	90.72	10.52	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Palsa-1447		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	63.15	0.9298927089	Genome has more than 10.8% of markers with multiple hits
C2	bin.018	k__Bacteria	5449	104	58	94	10	0	0	0	0	10.66	0	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	FEN-1251		-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	10.13	0.9162462421	Genome domain questionable ( 11.7% Bacterial, 3.3% Archaeal)
C2	bin.019	o__Rhodospirillales	63	336	201	85	210	38	3	0	0	75.18	15.45	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			-	-	-	-	-	-	-	-	-	taxonomic novelty determined using RED	-	-	60.31	0.8951355644	Genome has more than 10.0% of markers with multiple hits
C2	bin.020	k__Archaea	207	149	107	143	6	0	0	0	0	1.22	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2	bin.021	root	5656	56	24	55	1	0	0	0	0	4.17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2	bin.022	k__Bacteria	2258	185	115	29	152	4	0	0	0	91.84	2.61	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Palsa-89		-	-	-	-	-	-	-	-	-	ANI	-	GCA_003166865.1, s__Palsa-89 sp0031668...	83.03	0.9194501698	-
C2	bin.023	root	5656	56	24	56	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2	bin.024	k__Bacteria	5449	104	58	96	8	0	0	0	0	12.07	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
