"rank"	"genomeid"	"class"	"superclade"	"lineage"	"GC"	"assembly_size"	"coding_density"	"N50"	"longest_contig"	"nContigs"	"isolation_source"	"completeness"	"contamination"	"quality_combined"	"Location"
52	"A. castellanii mamavirus JF801956 (Acma)"	"Isolate"	"SC6"	"Megamimiviruses"	27.97	1191693	88	1191693	1191693	1		"high"	"low"	"high"	"Other"
51	"A. polyphaga lentillevirus AFYC01000000 (Acle)"	"Isolate"	"SC6"	"Megamimiviruses"	27.95	1193433	87	788571	788571	10		"high"	"low"	"high"	"Other"
57	"A. polyphaga mimivirus NC014649 (Ac19)"	"Isolate"	"SC6"	"Megamimiviruses"	27.95	1181549	88	1181549	1181549	1		"high"	"low"	"high"	"Other"
1394	"A. polyphaga moumouvirus NC020104 (Ac20)"	"Isolate"	"SC3"	"Chloroviruses"	49.4	288047	90	288047	288047	1		"high"	"low"	"high"	"Other"
1386	"A. turfacea Chlorella virus MO0605SPH JX997175 (Actu)"	"Isolate"	"SC3"	"Chloroviruses"	49.33	289449	90	289449	289449	1		"high"	"low"	"high"	"Other"
1261	"A. turfacea Chlorella virus OR0704 JX997185 (Ac21)"	"Isolate"	"SC3"	"Chloroviruses"	48.76	311647	90	311647	311647	1		"high"	"low"	"high"	"Other"
1387	"A. turfacea Chlorella virus WI0606 JX997187 (Ac22)"	"Isolate"	"SC3"	"Chloroviruses"	49.4	289373	90	289373	289373	1		"high"	"low"	"high"	"Other"
1795	"A. vulgare iridescent virus 31 NC024451 (Arvu)"	"Isolate"	"SC2"	"Iridoviruses"	35.09	220222	88	220222	220222	1		"high"	"medium"	"medium"	"Other"
887	"Acanthamoeba castellanii medusavirus, AP018495 (Medus)"	"Isolate"	"SC3"	"Medusaviruses"	61.68	381277	89	381277	381277	1		"medium"	"low"	"medium"	"Other"
54	"Acanthamoeba castellanii mimivirus kasaii AP017644 (Kasa)"	"Isolate"	"SC6"	"Megamimiviruses"	27.94	1182801	89	1182801	1182801	1		"high"	"low"	"high"	"Other"
53	"Acanthamoeba castellanii mimivirus shirakomae AP017645 (Shir)"	"Isolate"	"SC6"	"Megamimiviruses"	27.94	1182849	89	1182849	1182849	1		"high"	"low"	"high"	"Other"
45	"Acanthamoeba polyphaga mimivirus Kroon KM982402 (Kroo)"	"Isolate"	"SC6"	"Megamimiviruses"	27.56	1221932	89	1221932	1221932	1		"high"	"low"	"high"	"Other"
50	"Acanthamoeba polyphaga mimivirus Oyster KM982401 (Oyst)"	"Isolate"	"SC6"	"Megamimiviruses"	27.98	1200220	88	1200220	1200220	1		"high"	"low"	"high"	"Other"
1744	"Adoxophyes honmai enomopoxvirus 'L', HF679131 (Poxb)"	"Isolate"	"SC0"	"Poxviruses"	21	228750	92	228750	228750	1		"high"	"low"	"high"	"Other"
2113	"African swine fever virus BA71V NC001659 (Af22)"	"Isolate"	"SC1"	"Asfarviruses"	38.95	170101	86	170101	170101	1		"high"	"low"	"high"	"Other"
2015	"African swine fever virus Georgia 20071 FR682468 (Afsw)"	"Isolate"	"SC1"	"Asfarviruses"	38.42	189344	87	189344	189344	1		"high"	"low"	"high"	"Other"
2026	"African swine fever virus Malawi LIL 201 AY261361 (Af23)"	"Isolate"	"SC1"	"Asfarviruses"	37.97	187612	87	187612	187612	1		"high"	"low"	"high"	"Other"
40	"Afrovirus Urmite69 CWHP01000001 (Afro)"	"Isolate"	"SC6"	"Megamimiviruses"	25.26	1241712	90	1241712	1241712	1		"high"	"medium"	"medium"	"Other"
1722	"Amsacta moorei entomopoxvirus, AF250284 (Poxe)"	"Isolate"	"SC0"	"Poxviruses"	17.78	232392	91	232392	232392	1		"medium"	"low"	"medium"	"Other"
1634	"Anomala cuprea entomopoxvirus DNA, AP013055 (Poag)"	"Isolate"	"SC0"	"Poxviruses"	19.98	245717	91	245717	245717	1		"medium"	"low"	"medium"	"Other"
2144	"Anopheles minimus irodovirus isolate AMIV, NC_023848 (Anmi)"	"Isolate"	"SC2"	"Iridoviruses"	39	163023	86	163023	163023	1		"high"	"low"	"high"	"Other"
945	"Aureococcus anophagefferens virus btv-01 NC024697 (Auan)"	"Isolate"	"SC10"	"Aureococcusviruses"	28.74	370920	89	370920	370920	1		"high"	"low"	"high"	"Other"
41	"Bandra megavirus isolate KK-1 MG779410 (Band)"	"Isolate"	"SC6"	"Megamimiviruses"	25.2	1235891	88	18219	73092	119		"high"	"medium"	"low"	"Other"
206	"Barrevirus (Barr)"	"pGVMAG"	"SC6"	"Klosneuviruses"	31.59	604913	80	20887	71515	44		"medium"	"medium"	"medium"	"Harvard Forest FACs"
1959	"Bathycoccus sp. rcc1105 virus bpv1 NC014765 (Bavi)"	"Isolate"	"SC3"	"Prasinoviruses"	37.21	198519	95	198519	198519	1		"high"	"low"	"high"	"Other"
2146	"BeAn 58058 virus, KY094066 (Poaq)"	"Isolate"	"SC0"	"Poxviruses"	24.24	163005	90	163005	163005	1		"high"	"low"	"high"	"Other"
26	"Bodo saltans virus NG (BsVi)"	"Isolate"	"SC6"	"Klosneuviruses"	25.31	1385869	84	1385869	1385869	1		"high"	"low"	"high"	"Other"
2237	"Bovine papular stomatitis virus strain BV-AR02, AY386265 (Poxr)"	"Isolate"	"SC0"	"Poxviruses"	64.5	134431	90	134431	134431	1		"high"	"low"	"high"	"Other"
521	"Brazilian cedratvirus IHUMI-27.7 LT994651 (BCed)"	"Isolate"	"SC2"	"Pithocedratviruses"	42.3	460038	85	460038	460038	1		"high"	"low"	"high"	"Other"
982	"Brazilian marseillevirus BH2014 NC029692 (Brma)"	"Isolate"	"SC2"	"Marseilleviruses"	43.27	362276	93	362276	362276	1		"high"	"low"	"high"	"Other"
200	"Cafeteria roenbergensis virus bv-pw1 NC014637 (Caro)"	"Isolate"	"SC6"	"Cafeteriaviruses"	23.34	617453	89	617453	617453	1		"high"	"low"	"high"	"Other"
1903	"Camelpox virus CMS AY009089 (Cavi)"	"Isolate"	"SC0"	"Poxviruses"	33.17	205719	87	205719	205719	1		"high"	"low"	"high"	"Other"
